date,/g/11bytn80mf,/m/01j6t0,/m/0ddwt,/m/029ggh,/m/0j5fv,/m/02656gy,/m/06gx48m,/m/0dl9s3k,/m/013677,/m/02bft,/m/0cnmb,/m/0k_9,/m/0m7pl,/m/01cdt5,/m/033mg5,/g/11qm6vy88k,/m/03l19k,/m/079p0q,/m/02np4v,/m/05sfr2,/m/03x69g,/m/04c_jpd
2020-01-31,57.0,89.91297228587557,73.0012068263827,88.04336583868786,90.04852405354268,84.0,95.9965186135574,76.86728267862408,85.01027098852273,84.0,70.7800124940287,89.13302976803261,76.18900622174394,91.0,88.0,0.0,81.37795488824901,81.98346473674685,87.49599704113395,50.47316812097714,82.0,80.0
2020-02-01,62.35065506069187,88.69566210220594,67.0011471935722,87.00868993953306,88.04914023200035,82.0,84.76912886250707,83.756842869077,84.97492352382712,79.0,61.39787487302283,80.11645617368532,49.126211391493484,88.0,90.0,63.0,48.08670785377482,80.98308304295225,92.41444554214962,67.65668975647041,58.0,68.0
2020-02-02,91.02713202345755,88.86095661548696,70.15466972956614,96.0818055505857,94.50183312688232,62.0,102.98055925728184,88.03228256230823,87.93911821537245,84.1013290416346,65.00794885771865,83.07699223978817,37.078658806013216,85.63226617940062,89.9816146229052,42.0,92.35918394680144,73.13755755469619,90.01049322618707,44.35640460698206,64.0,71.0
2020-02-03,58.435344235732614,95.13512191324726,75.06282297986104,95.01159394417057,88.61849093346608,64.79491482347855,97.2412913198121,90.9177801484972,93.03666916845282,92.96488386591261,82.01038592508513,99.09511390724262,68.08324539545947,103.03651596737365,91.9279148079609,51.026315789473685,97.85314528993595,73.98897310602342,103.63386594899741,24.125166443844062,90.0,76.0
2020-02-04,64.49753626940871,97.14289396314457,79.99501292585722,95.12035730198052,91.72623090237862,79.69583464389815,99.74365493285015,84.29097671204647,88.03593691163272,92.87197802013868,81.01062566987152,98.09751577358712,83.65597946484243,93.77163852147187,93.3076652684086,100.0,48.31206244522224,85.1955751401068,98.24791905187024,43.325400572003744,92.0,69.0
2020-02-05,62.4992021274536,94.14342008230194,80.58445495383093,98.12859227527392,92.12688873513368,88.11594615103425,103.94962771773268,86.91298969820971,95.0401810842322,94.92632602702054,82.82875755139261,93.33598924658136,81.23902499667948,95.80430997632746,95.54340410895358,0.0,39.26330268815626,77.09182883243352,97.2325212008566,46.92628174387704,94.0,88.0
2020-02-06,42.96140813760054,90.96669622456025,76.47109691061124,93.41697623187169,87.08692576108848,89.32718047868555,91.59136474950611,89.97914813145672,91.10978589989969,91.5011287938244,74.38266877853728,96.2957557375215,73.51601753789441,99.60057115864733,88.14153639374828,74.0,29.505616268050048,90.1835641123355,98.336705853771,46.9386034226334,105.48761437603311,78.0
2020-02-07,33.1405805831733,89.90912702281986,72.18178590557949,88.69491589798164,84.45708569273714,67.59108182053369,84.383569722642,77.59550565522323,83.19680373132461,78.76940179167967,68.72266442911705,86.54839083617155,54.89741065295599,85.82133749271732,87.06400803948688,36.0,34.61559115924395,78.5904014102452,94.25226425591583,21.350807673466786,84.40402334014172,74.0
2020-02-08,43.05974370856531,87.09752626008836,70.72433592877796,94.42500399687378,91.11185443762436,72.37200320197246,85.48259647285832,84.30180208255813,85.07718259556994,81.99927562689324,55.28038455030267,71.95708046296956,64.20670943036421,78.25318373830572,86.0194077409982,0.0,21.394841840827283,71.8454036036721,88.10744025693836,37.10036269199191,61.19647347832666,62.0
2020-02-09,70.57150708905345,90.10449242152326,75.76552583933268,86.40272035266078,91.11584923896808,73.15173173325879,101.1779595645478,90.76226642541741,89.36310955948427,89.59959931333236,57.16823899820883,84.6062342882448,75.25088895705478,80.80990563511423,90.07018311931127,40.0,11.214776605724733,83.81319602110378,91.18492662091272,39.67829317374315,65.41817355879672,59.0
2020-02-10,41.110825790799616,83.70212636296615,79.13198925067663,92.5483996515772,88.37121093217688,87.30708961405652,91.74772256113198,87.93682361589829,95.36287611995373,93.36963570609991,79.63406288106269,95.00289473184777,101.69405743304127,90.90139145783166,86.57024101654437,0.0,25.29603698220222,76.82264741289316,95.04586849332667,42.24056338573784,90.75180400471815,73.0
2020-02-11,82.51626046880901,91.46580001269308,75.52931155759238,88.55238844113698,90.360343753564,90.9298385542121,103.88317147155672,91.4547245693647,93.36792364493051,93.3631229979499,78.18833209982493,97.86047298140801,91.34497630631908,94.45569697698528,91.07106964735303,0.0,15.469687621309424,79.73396434691708,96.1039987687048,34.447903961099136,97.06929431214107,70.0
2020-02-12,66.75331234759899,100.75826765921671,75.81966168513691,95.53680593413617,89.46839974039264,68.92092571118195,81.56716036531738,82.93406364916557,94.7996741532288,87.34904631108212,81.69109098616049,93.6660964245245,98.67106285748177,93.28720701978389,94.18863964576092,0.0,22.445143974455902,71.22290773712156,97.05153028833318,29.526755700149337,94.97548841408701,71.0
2020-02-13,47.64224841679741,104.52868679047762,73.65533932436848,87.68582116093658,88.40648560360876,87.18249910347099,94.00054568429545,87.68148119391216,89.83623851048362,89.26807758319043,70.91175978933258,88.39794629897985,88.29447670809446,86.30662727047066,97.18570406790255,0.0,26.386322946625626,87.2050261873199,90.63280923002176,80.02244474352061,94.96845536483644,72.0
