date,/g/11bytn80mf,/m/01j6t0,/m/0ddwt,/m/029ggh,/m/0j5fv,/m/02656gy,/m/06gx48m,/m/0dl9s3k,/m/013677,/m/02bft,/m/0cnmb,/m/0k_9,/m/0m7pl,/m/01cdt5,/m/033mg5,/g/11qm6vy88k,/m/03l19k,/m/079p0q,/m/02np4v,/m/05sfr2,/m/03x69g,/m/04c_jpd
2021-02-18,111.21886270149295,99.23460672245854,77.99855457282186,112.84712839187563,98.56749382339585,174.07262378539372,107.19404704281989,89.29328479367588,99.92252518192153,81.41028505467796,79.5193620894591,96.53954557632423,471.43338588526467,91.71473351888872,103.5521909856815,4025.135183502314,14.447378565127487,74.20481935415947,91.70226791862991,300.338127884951,93.37300628941107,80.08694241618203
2021-02-19,137.546836947424,97.53977011182111,76.19266623958443,106.83283092298586,99.30434961913794,162.0435452062721,104.18596518150922,82.05404340041184,98.89486259427136,77.67082757656678,69.36959880829754,98.75890138013617,424.8644712149828,102.76370564192301,92.01832718830781,3341.1260986200255,18.648332540914236,76.11874136423975,98.22102288409752,280.20856565167986,83.10334080080675,74.08830003081708
2021-02-20,114.27918565800861,94.51759199498946,71.35417041990371,113.32640775582524,103.94408328225528,143.15839193275735,120.90926720495474,87.3641385873939,98.46785458496325,81.65431697535121,64.9085132098347,98.91662532674734,429.04503985163467,92.7469909747608,95.86176527754128,3179.524324770264,15.552864648818069,73.97113375620869,99.7867663721095,281.3968659889532,69.75671952674786,68.76700957926208
2021-02-21,116.99271520400369,101.6930783473874,76.91759856351405,117.64681068150257,103.9415347095992,144.06389921648838,108.99794991150775,95.53457239364285,111.1840125148641,85.16084488140513,63.984673549903455,105.47740696383644,467.85688431543457,100.4306341824724,98.8472750761722,3585.7421335170825,10.080719283139736,82.51616097658373,99.26621656193178,291.4640462162833,74.84989571250823,72.85846250520902
2021-02-22,107.78581493912282,104.82768257578567,81.4983041470137,112.84687285098123,98.48131323537085,121.53002519206879,100.71181833659861,84.33737143719361,101.1895614279504,92.52341092868592,77.71049587641038,105.48935315607504,425.65681660916914,104.829467646502,97.62303081871761,3707.214075199073,17.322520868073834,87.27135222768668,100.3794056050491,302.0591533487492,96.3791900482911,66.31113217917397
2021-02-23,120.27233302459015,102.85891157115749,81.64161394705637,105.63872301772135,103.97457287299972,159.88993469580186,88.56026088047506,84.35713998504521,99.62479144004402,91.64703136732018,82.73102596219353,103.22367212984521,523.4271885033196,103.70230135604452,103.29319009815778,3539.9956529019164,15.844237653111488,82.28039122540002,98.20482014083225,287.09902354383377,98.45849629420138,72.86594237072931
2021-02-24,107.65417568556796,96.94671129902972,79.82380132122009,109.5975807484215,98.40412464772328,157.24072944955904,98.23197421172681,86.33751935423311,100.68554646474722,86.9054299240785,74.41092098347733,102.1869472717051,481.0666487152826,99.4282526163731,97.11975125666258,3460.8538077164803,9.781659399444079,85.02394973794989,92.77622048098976,296.04260811611664,93.31143137186213,66.32557185285268
2021-02-25,76.5166447877386,99.74423684295046,82.83012688382452,111.28632169908083,97.98561013743935,170.72819558504887,112.13896237742604,83.32306696975881,100.6872570510684,89.76799922633342,82.97594747136992,100.13758206114787,468.5535916509512,97.42056650670787,98.07524494048732,3945.0493429375597,12.349874604280156,86.88435483675501,92.25205470832063,336.7810981243179,97.42169556984942,68.78197074245789
2021-02-26,49.48364853577477,93.75006936891018,76.42350628264866,99.35553498465065,95.89334615500593,121.8078779843912,72.61631217587691,77.21568812790508,103.47608271876943,82.1783997981277,62.78665644828523,94.8796596249055,468.49652070364374,95.21885781546183,87.08559638662746,3265.05683236965,32.20708390803072,84.18955750699983,92.25010410154701,305.0111190547676,88.18878369552597,64.68854196799383
2021-02-27,100.56898617033241,96.95812352785545,72.96085170267277,119.67073393899004,97.98971568792332,125.31710705706955,116.31847759112226,84.32418921617085,104.59842481713234,78.49974308349465,56.69633798432631,92.78738741280831,558.6480479796636,94.09239801271423,99.97582292139644,2862.502488228391,19.38453314651557,70.67626542987149,98.62858066844534,327.7213661373618,70.76942309981207,69.60832683180247
2021-02-28,107.00558682673395,105.39055014806684,76.42948951136397,109.97305844607492,101.2000624634071,127.09035960435887,104.9525086245186,96.5426882253012,103.51309475040753,86.78824548166922,67.16290410306216,100.15941703836388,432.40280534832823,93.03306064735956,107.45292144236728,3387.7641276074946,16.687463090176475,84.2066195167979,100.74418464187403,273.3706264386801,74.87307567595795,69.61168979995992
2021-03-01,76.64274292885857,97.00037252612242,80.74870650393295,120.83800457420242,99.07834453742204,140.9879797672641,103.61749752167493,84.40007515104102,103.53685301081235,84.95375934397732,74.15440584650176,103.79740126326567,474.228726358727,103.83436851134763,97.03487070347406,3306.915111469329,11.234936867544931,73.79010678405253,93.34663994587116,291.4770691310527,97.41677074717165,66.32614520246423
2021-03-02,101.15863511628399,99.36220533747945,84.99060068387969,113.53102646428654,99.5198633914468,133.68488747674556,92.88723691790392,88.31591648813571,104.66598620933247,86.82668612652775,72.42063186106445,109.11444502840759,430.2685336204949,102.72291141922467,103.61569462878182,3750.532172074778,18.586531851335444,77.56588509387318,93.22021711617441,249.42482297297465,98.45475080107488,67.14386054584197
2021-03-03,102.96560961224577,101.57695512021814,80.2321465316088,113.95469641174981,92.51937359336372,153.43767741489106,93.38021523876982,80.76700392770594,100.28116147032225,78.33758878400418,69.49749697408693,105.87445248538116,465.1722756006174,107.54249817182387,93.88614781067068,3561.9974878684334,19.3088778099697,72.92062574843838,95.91823251221955,291.70816472450605,96.37220095627342,58.95996527174441
2021-03-04,115.07961157975024,97.13972929834503,76.43379829442131,113.55450130166724,95.79071407157002,162.64695370400943,79.07433034906657,78.5486322888707,101.44924938825788,87.0861432790082,76.67422465740316,103.3385986088785,497.247773372498,107.64285084833838,79.62095663448326,3658.910151289322,14.517314071302863,77.66190433905402,90.92044366084437,273.17028345711344,95.35146768747633,89.93233185055215
2021-03-05,80.33347322820566,96.9450543764516,74.3842225588961,99.04911734932602,92.59666163715987,125.28079923330533,111.22451678907045,84.71490253360967,97.00822334749178,79.34171609589052,57.22379726021888,99.13872685474998,457.4988060271033,97.90766856977584,97.65815869751388,3496.6864441488224,11.701140346796771,79.43339578377494,88.82858442061533,292.0112650003137,95.03191553145565,73.74600055992974
2021-03-06,109.61982945489763,92.72559074279553,69.59767711647687,108.6886943057697,98.71035044293029,119.29013932477362,84.73327035232464,85.82368197687182,104.74323050335823,73.67428201893537,60.04899919883038,94.01210602973423,424.5672813275555,97.8965325665958,96.96806159356414,3321.7396939199443,18.508727423043666,70.95957554316044,92.69851878816219,331.84527005517157,65.41977350467269,64.75413149398852
2021-03-07,145.82010412843687,96.9331660683634,76.36113991072237,113.55519568893332,104.87619892349562,128.86220160404784,101.93716148962444,94.58660198983316,106.98971991226215,80.97338887114343,72.42646932296967,98.40332619722574,436.66197176869986,99.0014113850968,98.01257190815039,3078.714788771392,40.28588407160037,83.69602733604567,98.98108740339889,291.3575932404297,68.47459176133204,66.56093463289946
2021-03-08,112.48364749939958,97.1889098946256,73.8186805346433,105.16963546258033,99.57976325997062,113.78360222986935,80.88818436895558,80.02548284202112,108.08176220369681,86.41652522153386,67.90011554412612,96.57586587683974,367.41823151962575,104.87467640653446,95.85414366889505,2765.462378615419,32.21243730782564,84.5942262065031,95.80638752364126,270.6167112797425,95.07824179026267,70.12859421477101
2021-03-09,139.06965880837296,104.59605058156752,78.06693008282687,103.91758031820767,96.460875667741,147.0464708966576,93.75785077691886,83.89401008345953,101.47734298290663,85.51446109050048,68.81077288964968,102.76104296369415,467.4601052202864,106.93212308759537,99.02658598950863,3140.2641907287043,29.486868301648467,90.03784461620079,94.80647333592944,266.149176945618,98.16441782414256,71.02738963405922
2021-03-10,128.82494479176535,95.93466219383191,74.62633818594516,113.61761554207152,97.98822325069338,130.63486911490884,104.28197611452158,81.8362934013654,101.4028061430814,85.73005944438812,74.13499635028354,97.52076327086124,428.09930973402425,102.69958616414164,103.24753226960522,3149.2515626466325,17.74836166166134,76.41142025908657,98.62585967474023,251.5803749164956,100.22961790145393,71.93130560590649
2021-03-11,103.40020488778191,102.61331577129297,73.02892494641432,107.55439077087493,89.83006230785591,139.0723597445745,92.35916709481556,84.81539991939805,105.78416304922777,88.32863803169657,71.04509620538172,102.8383717255533,397.7682705386414,107.81911439866138,107.96074267654896,3349.2173295248144,10.59603768277185,76.94640384671705,92.60111741898392,269.5503909283124,95.75292545787241,62.940690017590754
2021-03-12,105.46478455345988,96.58348198464957,71.35263925915973,100.32326421114217,90.00737985939814,126.04480496014236,99.2992875449724,79.91698795377506,104.63871016513458,79.62366622944172,69.38779131611133,100.69738636963882,410.02363612870465,105.66295138854818,99.68272807741315,3148.973517800213,40.19243072623332,84.37997037754421,82.51031624040829,291.5412605344941,91.76564623838111,66.54156706782933
2021-03-13,102.76933489493294,98.28766008304956,70.60266475205258,107.8746218362685,95.20535789342017,107.10025113574328,102.77030216108865,87.71205012942765,103.56796624061143,80.77664508008445,55.37660028665292,93.10542170572243,450.9416953947905,93.79571802893362,97.58242605890787,3343.2581829799,26.09593179242129,81.0570507597591,93.55471403766545,250.61854942241646,73.8307898605933,64.74621286071236
2021-03-14,138.74130549181265,101.25796030281509,69.80178207123164,107.92368796498245,96.32591235893383,113.71937852160715,96.03247416677159,88.77868757115564,105.74850479013871,79.01238853097867,52.97562770983759,93.91324407082499,444.4504074241017,105.24400546193998,93.320741249769,3451.016579652049,21.956994761759194,80.50194668362742,87.54083378659253,290.7426346132589,73.85546974262257,73.74801924379213
2021-03-15,70.10246524858,101.93861057266734,69.82748381516056,103.8062376315431,92.10644384240902,127.04683407815313,84.47008056682218,75.79884629702123,102.40707265890744,86.8625531970091,68.74105361245401,96.10452879361031,442.3848058070006,109.94376819435901,92.2800232302065,3562.920768412793,23.57191019139062,73.90485148874738,93.60615682447742,270.54284839478,93.79095316137608,62.96229265285871
2021-03-16,129.60884301779305,103.85913958920312,77.39761104029881,102.63215125626057,98.54769152584218,148.83546984645824,103.19107601989418,81.7903209422648,110.20675852325795,86.98912961102309,77.11596791667647,107.0405624908008,492.21357469997565,113.18749044080062,97.97821315191946,3209.0559881712807,27.008955867557635,85.14119117410478,93.64542971203778,298.64013384385225,95.77368895491841,78.25809155974889
2021-03-17,120.94811357585256,98.50321237825723,79.59192031051954,103.87390707498717,97.40862269481205,132.04386471025717,110.13722507555715,78.20355069809763,105.8040746593454,84.99093387254072,70.33001109017863,100.588684930132,463.18607318534833,109.7477347759151,98.01038176650093,3600.106123795003,20.667495049476212,92.58995507279012,93.67685044002481,343.385586685849,88.8077896305941,68.33453376581586
2021-03-18,82.67205837632186,121.68644993278352,77.8892401003522,112.35232179918141,97.58362418672036,122.47167198061406,95.03950022205686,78.2238555930493,108.04275041418325,82.05349738025254,60.30507047003397,106.16068175367408,458.47926571782875,105.14320852739449,95.92175438694595,3634.371383179141,14.31560285115326,81.48687218694855,95.63219194484448,301.6626435472039,92.81746203498481,65.63457441215533
2021-03-19,111.87281063409637,94.84977699732735,77.46356646060745,94.21615817787328,96.28359178873254,162.15585788355241,99.69912849208983,77.73843102548393,102.27709975430345,81.21895805655774,71.29121413755676,99.67343084700899,411.29714194489986,110.79008935982684,95.49814307734306,3222.7536928212044,21.295741113915742,82.43131135907888,93.54966741144288,272.57072507567034,87.84207050191151,62.93538931868231
2021-03-20,157.04652790853504,99.8520449884466,74.95256197102422,101.79170222735394,99.38615600145768,120.9227343434225,94.82683938127005,83.7424411923576,103.47167990684443,76.01489061697485,53.890181484349576,90.94072183445815,475.61615754986707,100.88359864576783,100.26366236435719,3141.8945329260127,19.63482439824054,77.8426870744974,88.5601249400468,284.71431286288237,67.89952894610299,67.41888445635392
2021-03-21,74.98967606931419,102.383680766163,70.31613714398874,103.09859456360033,106.91886942418161,123.76278820425469,99.19899906320184,90.84078974026342,109.06304200052772,92.41622246066657,64.32689938281555,97.66356656208183,516.4448743923937,108.54290425551143,106.7781551690388,3794.006865251772,10.169857614664167,75.89455274168363,87.58016249605902,400.97073701238537,72.89735023103411,63.808222990341584
2021-03-22,143.96562390268704,102.36458735928302,77.94713322182172,103.83431657450794,101.33425005610052,117.10866034154913,107.46862984408484,86.70955176703745,103.38789292452635,92.14797848142771,92.084933405811,103.22159384228196,528.765581795875,104.63243383519092,93.86771952291937,1812.2990693721445,25.874740590530134,87.92117197221121,98.37275333911863,210.75702011592603,96.81894342870531,68.29964315180983
2021-03-23,108.02856524410205,103.02430999656633,75.79994267495043,113.01892051070953,95.62573716304817,163.9202638448306,120.09076559893828,84.6022852590025,102.04964675053397,86.74257277661886,68.95773191179796,106.01580870780366,487.2608743893346,102.97431128952256,98.81185017243271,4404.789021102615,32.32803856337292,80.35126303177634,93.59580149525121,292.3718949854257,99.79257067333677,63.781669031184066
2021-03-24,112.65093331174529,104.8643829870408,76.67188190903238,89.04495491659587,108.55364592755767,162.65410980632169,88.47109254190116,91.79007424422626,99.6392251820129,82.59746347866944,81.67285424081383,99.71112803156305,485.65825482994853,111.57169489122857,97.65713722980094,4306.646518732577,24.307650341704466,87.41284522915183,96.3954765259098,208.0563098329041,101.27736660427011,62.88022024253591
2021-03-25,100.41063176846694,100.50866370729474,72.46619809785663,119.77541721699039,99.92168388212555,128.08960914150632,99.80137379230645,82.95788050902657,100.05594874161888,93.4544897713469,81.13323047872437,100.61133622646119,522.9298679340035,105.52060134810968,96.50806061699306,1535.8272572751914,76.47782313214327,79.74377811702438,92.59036704761377,319.1629518037591,98.23391492007617,69.17373497676671
2021-03-26,96.41517215654108,103.45463781501081,71.64154376005715,117.02659709390802,94.58199370924184,141.02024681836835,78.5871813219547,76.91255217996527,100.67045395644199,77.31281618373879,65.05182998884933,102.09907531556429,491.81749846468927,105.45756612251738,96.81823930345698,3131.1925730046096,21.5748664970342,73.77844973260405,90.62109688221084,319.5457313115098,84.04963302873017,61.99939132990751
2021-03-27,99.61169443141651,98.52837851622583,67.43597227768609,155.63089300996234,103.12926511998732,116.85121115749381,92.82127952682428,87.6095611474674,107.83172624318505,77.27245183354653,65.9594468286164,96.4888551562982,497.4436806041572,100.84882275267644,95.94316019829387,2905.806214865222,17.46830679945938,81.24491537089007,96.5722720284634,333.36641145901126,66.83224838068527,76.37633478972351
2021-03-28,212.32555406618286,102.0548982786138,75.06827088664257,157.62618238853986,102.05010488428118,135.27528264447088,107.0319372212274,89.47865695355826,105.60472088376115,83.92285682579269,61.670144984910756,106.51861597687139,539.5720538831429,99.68210767311345,102.41901283096014,3280.946599644777,26.468197449778486,83.16339551127611,89.5266561645741,346.1924484587878,69.87406522793788,61.115956598407095
2021-03-29,108.68490745878009,98.12892112975183,80.98478851498632,174.59160852243286,102.04160023093168,150.118468161852,111.21211529792619,90.74542240950547,102.90964241065356,86.07302537621078,86.59982955275972,107.52816189481253,522.7507314772117,114.68934172903698,99.9303508919917,3730.939771549466,51.61179559784395,93.1010110285704,95.83829414294755,419.45288563382536,80.00319399336617,67.39315189715727
2021-03-30,158.30255678781532,107.30124750093353,83.52425814086173,169.33529397002533,103.29529335562474,116.10984648666054,112.50312282696822,82.22575360908868,104.505450910462,83.42691641286756,70.26753681901697,102.11184647243718,560.1379046121124,111.2250288530961,100.03376089872448,3559.1707027744847,28.048551295550624,95.02589182719869,92.85735116308007,364.4396841097404,85.06050917266805,62.90596535185345
2021-03-31,106.93781622401384,94.0177020116081,94.49341949521337,114.66429804708416,101.38864190717783,131.94361921305463,80.86588243942413,77.54547683693227,104.45952319579062,86.97157184751661,83.916187516823,101.90365629552595,192.53360042313957,106.56982219827619,96.62791135962306,651.8367859524352,70.76630503383902,92.89573444689704,95.73879817872654,263.65380012214683,91.12863450797849,57.521808719269586
2021-04-01,124.2960711968185,107.17832840082025,72.86060638262511,178.97151682961365,102.44998281228676,121.13575498430552,96.41291339533691,88.95174171635715,108.8504184395695,80.81348877145354,69.32890274085693,97.97005018593107,534.4240063079563,105.45290691409966,105.87239823610406,4163.269742918901,33.2094375218313,97.95629527462421,85.34608079504369,303.73017948591854,85.04768069593547,66.52398288889582
2021-04-02,98.10217269108385,84.88532948056704,76.17557846632718,99.06169976050997,102.02414353988534,115.83270381514991,98.3483800684253,82.26895411109452,101.65042695551993,80.66964787005719,69.52296400965531,91.57823363277441,466.84310317192757,105.47962017986598,95.25031187344713,3508.904862364813,83.16323343877403,71.76330642551288,93.73510559345556,363.0415281604347,69.85590057400074,63.62759007226416
2021-04-03,148.04512478840917,108.7175141245366,73.19143112969556,170.964205923387,96.56379656054021,117.62094622296476,104.25729238215092,91.69516348151335,92.80773428330158,75.45304872629752,56.429175728039034,90.79083467261519,624.621736015493,99.73044833047439,96.2652324118765,2868.810810578235,38.8220612712122,73.64439097385981,96.31080477384265,374.3073215502268,59.734862917879596,62.84490393321994
2021-04-04,104.50880206626864,101.27030312673219,86.87969512984935,181.04650122374704,102.62315210925789,99.46114859602008,88.17889132836781,94.20255441468812,94.54769500392815,82.85402846562359,59.10214770472808,96.96668661956417,561.5597116562814,102.21105092272718,98.93941709652468,2808.915464159,19.59562983699087,86.02309946232094,93.68044138749649,391.57720051526024,60.760169471089974,62.8603069052243
2021-04-05,134.64489266788323,106.34751016194394,86.82718784070023,159.16033499086964,101.69051907201646,122.1088122531524,115.63017261454611,91.74038486086602,109.88530721314433,82.80035779466728,73.48255373440114,111.38374197349461,506.2371759367813,121.63406976291309,100.11013386798595,2915.7723760446643,52.39540648473942,92.9007501628352,96.5908244253725,338.1625545730862,90.0978989527511,66.7689242787629
2021-04-06,97.50041256341213,110.7730968363409,80.39545973901079,159.67424482969443,94.96049427478937,128.8369747089346,90.92154557592963,82.63666221741204,103.87186210737556,86.422602408779,72.1971474456709,107.02684485877583,556.8323852315365,110.67682356176375,94.24856480734499,3470.899962251314,36.997993087080424,88.96279956228236,95.67295710899131,342.5098171669112,92.12538301865466,67.54693146421448
2021-04-07,124.74950569586998,107.79606325922167,82.89386734283583,148.72715291270333,103.69821075651191,168.5278285272173,83.87320151085898,82.62580483018446,110.30028596123498,85.55755292272191,71.38683849898683,105.3107666247574,556.5095147415602,107.34320584679087,91.7900868557001,3798.2082503339725,36.48483596640579,90.03847947587064,94.64671659748021,333.9731674758511,98.20084003511718,73.03243637880941
2021-04-08,167.48632067051315,105.46609041324461,76.47529029654905,147.86313347285449,103.58399529973697,159.49806366184015,93.21020884616244,82.21090565458549,105.3435079857293,82.30812630916212,73.7099021887652,105.94662000527559,453.0158019336408,106.13041758780244,96.14332119836112,4012.9649927070777,31.678119219878358,88.156773849071,96.71840457541474,375.9224779553312,99.21307776896087,76.18550932186051
2021-04-09,83.53544494463613,94.51956703596919,77.11901638209115,144.21352123557824,96.8892590375764,111.78919726131613,107.95854870149552,80.99005484535093,99.29230412575602,79.83116102047659,70.32866721218501,95.0255259296228,525.6190545068408,98.68652363135368,96.20902027178515,3433.8064978892203,29.72043065626245,74.62897471065833,88.36999732791135,296.99550176110176,88.05743481867003,68.35734630850074
2021-04-10,153.07611743958333,96.12263110195467,71.36809338376995,162.1687530212028,102.92799530626446,127.30567132468451,104.73536553410347,82.60209781296521,102.4787205655759,80.54237055749168,64.9087082094795,93.51788557403694,598.56616192122,95.1510836657863,104.71378623861798,2788.0891287814698,0.0,84.13104518581225,97.16093031068074,363.5977719961929,69.84787342426536,55.769537924950505
2021-04-11,121.79166323488346,106.71003831644899,72.26610609769769,165.5841413467408,107.3103490820046,131.94027343319888,106.69792089738475,100.65958062286582,108.1683138158047,88.0948258607338,82.53619227831686,106.80173044886966,629.9895965223595,111.53879140940415,101.52546386117227,3599.9485524878864,35.34127012006398,81.38903404101443,106.96952402406794,419.95157069960493,72.88707064006918,65.96855723415753
2021-04-12,82.23051910698669,86.38053839609536,78.88239699725399,165.3119361464372,101.93478966448896,143.76369658056842,114.58667131005046,89.02606854800904,104.82520083568087,86.892059488012,77.66347083040287,109.52100536309985,607.9143135187479,98.5288529258965,102.76069961012806,3421.260290080954,25.7638774914547,88.33415071333108,99.75926587359508,136.4003498906575,89.0860883865587,76.96606977120342
2021-04-13,95.46628657080717,110.56960016192441,79.34354181362878,161.422660433461,109.33380324985771,162.5948903845476,112.93489623073319,84.44189839173113,101.36688628904615,92.91973142450628,90.20461775570271,110.7645805864691,768.2680670751685,113.9137087324387,103.46270335211732,3471.39294615726,13.151027502315205,94.748340599503,103.73784303656564,358.35154350343186,91.08787052840194,69.92336318935736
2021-04-14,135.37223884192022,109.37829076662946,78.95009640605444,148.4721273386942,107.09833928354438,173.40604457116407,104.44086430869632,88.98040131771165,109.43678094496394,88.33574282522927,82.29364684638892,104.01435372486955,636.5171124966977,109.00593112795451,102.72098047471017,3742.673077023058,81.39150541562607,94.79071888723624,102.51754356696694,332.98254144899323,89.07608903250966,81.78956918444396
2021-04-15,112.35581634086489,105.72994063795288,76.46289937412826,139.45840420942585,106.01721432593251,166.2972904302822,95.68757269826484,86.61804754968574,105.03271095887322,89.36322723013828,77.95096746644076,101.95998397402315,587.698228266631,105.34459445919701,100.04937469957189,3365.087018695451,27.430201100466363,70.04136188922475,96.36650385338537,315.6072030086284,102.31349633456597,70.32240709953638
2021-04-16,93.15102859345014,95.74989425872388,75.21160025811146,142.51762611683876,101.65044333072761,145.77323691126864,92.168735055874,85.61548344279305,105.64049582883231,100.69352055238848,57.71603070589634,101.81376797937565,742.187307135786,108.94332500074188,93.72412025989435,3448.2242074056267,73.34419735470004,81.89335520225885,98.75316154396124,334.4516589873617,93.1155609369361,64.59078838583288
2021-04-17,193.59881763885332,96.8554697174156,69.50838629309543,152.0673131281691,102.69749140043136,138.31785761456342,93.21362592630445,86.59974308372054,108.28413176399471,84.5952533229277,50.65024892576908,95.16915988695258,702.0640689577106,102.89509610161114,114.36724160089025,3051.3700946492067,43.24094158283774,86.87976264203338,101.95194573842583,308.6116329363113,76.74849194114104,53.962542512033934
2021-04-18,124.85681322526864,106.92426387793724,76.37228892364116,158.87492467765748,104.23084752206438,131.26494017111426,86.9985635914779,96.47758131374431,108.97422454998632,88.90276150839324,65.19627531423039,96.47207498112549,1075.2580976718414,110.82267564220322,97.0281942184239,2833.598155169822,48.333797782678225,90.20304528508787,106.26654149282348,420.3123499869422,72.68031071157236,61.30883736512974
2021-04-19,127.29637817018804,100.18033307637664,82.69006117687645,184.80987727850652,104.2178582844299,121.050942796834,117.53135592223775,90.46934652370952,110.97368364111433,89.31430775687558,68.64484416125265,112.86787294398044,590.4599364675842,123.30380762190755,101.36582005887865,3122.5719945245287,61.508562289902535,93.21155063345503,108.08073053859128,312.2900090260339,100.30860297768979,72.75123707089536
2021-04-20,97.62950054293529,115.55886808135345,82.76665725476909,178.61475177334495,102.95120213249434,146.1116711142088,122.95234921921305,86.85177245830992,104.48552878581606,89.31488871238467,79.46007660309236,107.51638840044829,623.819178609576,105.7741362955381,107.07088312855366,3613.997019333793,42.314285475121174,95.15067408218286,106.78956436424365,342.74333357657184,96.229180628614,76.0028284398725
2021-04-21,97.86133069341214,101.88954663086567,93.92358707889977,115.0405266309988,95.97386970624702,132.23413325057126,85.97095800443377,85.87477720343291,111.57667359811781,83.73047135427274,76.90608653228503,96.59244758702441,202.78895515312934,109.48072409735519,96.05644041431941,737.3525140705593,75.82963860331506,94.10223377279429,99.98495187372988,323.7301658115255,100.34302040396176,91.75774990067708
2021-04-22,82.53003896347113,107.09867597460376,82.64660640764208,167.40791325074684,106.09826503531033,159.85162145134387,112.54626285342448,80.90825064164315,108.34276528040748,86.87403996900261,75.78759801317248,105.19280786174548,667.3331365677592,112.23552420175506,111.75421361994783,3545.079054103552,53.85041207481782,95.08248000150623,106.82058486509187,387.5700024197905,100.3461867433462,72.50631266373242
2021-04-23,95.76376124851826,107.05997416871669,75.56686451242753,159.87302131404243,99.02329518055417,137.68924304000498,90.94953630959516,83.40549387392277,96.84851546675968,82.78416012259815,72.09314561396467,100.73624457267447,621.1133607379863,112.55638788381542,93.93611832832077,3968.3599076624773,63.22217780656744,70.5657336102722,105.08471761054112,425.4851455998638,86.01302941049376,63.31717205335314
2021-04-24,80.93380246903543,95.43565064093579,76.54518054924803,183.80518658232427,111.68211862184596,164.24850820993268,119.72918638100056,85.82321677258629,110.3448207248608,81.66842437435619,57.50736903768665,90.42814575941279,670.3523700249888,108.83381415757744,105.69612693113638,3447.7741898724157,61.856601407435946,84.275689887944,100.71542723969532,330.1581036154131,69.62709164973438,108.1014404108517
2021-04-25,90.76639900568165,104.62697954030568,75.75255237954555,184.5189511614501,111.65650459323659,162.74136713037404,89.07259793851841,96.9702209353848,104.76060529277157,85.49037460197746,63.06646026429954,93.54937388309109,626.9378481477216,111.28063359213289,109.17061924652991,3629.2467289623155,88.81836288780188,83.15196899234708,109.46372163020706,360.3194933258104,71.66429574087257,78.92784688062828
2021-04-26,92.66390850521607,101.60365488524451,82.15928507203115,167.4244900422901,103.52845243320328,126.19862437389067,102.85732010441694,91.598145106955,105.81961214983657,87.32450674519906,76.07382944182628,108.04731366932597,563.830034904259,113.72207630144577,100.92616558853962,3689.6920699838065,77.91656790108547,84.27774693408082,107.23724169446254,321.4315566148705,98.26948857266152,72.46214702984906
2021-04-27,66.761962177184,103.82382795358163,78.79895370166678,162.52714964216096,108.14241136381085,142.5401119456087,82.65915552754727,82.5339816578178,102.42570291672389,88.23342682229178,79.50478162524624,104.71933771595991,612.7029726123955,111.25914909809951,95.62790183389932,3898.8303874604767,19.743482377273143,94.0050997889868,106.11758391560542,337.54648269146054,98.26248925274595,71.36774834968789
2021-04-28,113.26487888607,103.7417463478877,82.52251704853641,171.1782624592016,105.41394086880906,131.51173788576918,85.24791139716318,94.10766777670116,108.01792888497741,85.84876117911598,73.32718795645569,107.0578283453792,580.0503458647746,114.87575720980395,104.93958629021984,4047.535854253841,52.44039290361285,92.1116622046521,102.84082145534076,323.23249993863163,105.28013718421508,64.8727938932785
2021-04-29,109.24736518813754,98.19695672617885,76.53755420891773,156.96884745728673,105.60699433884596,134.65731529230743,98.09103164716807,76.5120996434453,100.06940414442167,71.73852230799744,86.37775085603337,100.49941901499476,582.368153419066,104.98194783708861,94.83729345709295,4026.3286547955936,68.2742292318615,91.17242976743016,106.10082238843485,323.3766566714622,97.88782922698094,65.9450664548471
2021-04-30,92.01961416013744,94.33275887374259,69.39617844868037,141.9240206822494,102.11147017454122,117.09131674749531,115.93749060275526,76.62032200243358,97.78278320395641,78.78908316134714,65.09609094361727,94.98853662853983,561.0118395106837,104.92029245044615,89.54086965231035,3673.881462022006,50.558239354368105,88.23390928514081,103.91196324026869,318.62815889339953,92.59192106453962,69.16657402535532
2021-05-01,78.62350868110899,84.93760329207782,84.26699583546801,96.08776567869943,94.75698985609854,123.75333093265183,90.86717986672863,89.88418360711835,90.25451728918775,86.50579578559608,64.99018461412871,82.17898032078003,119.31294951739581,91.90862510313748,95.12087314328052,510.0826021877437,77.54203515955774,80.80257706111446,101.27533091854714,115.72650263487098,79.99168647460458,56.20210166108712
2021-05-02,105.00132179536766,96.3734095953096,74.44239215562351,154.132462285722,103.11903539944083,145.11797081512032,101.56028403733858,90.22112844581191,102.03902903442312,80.83380339413779,60.23373103987302,86.74429085520909,493.0783314751938,94.55656244990355,100.55461570468472,3187.708346764907,79.92001470209641,90.24090737042991,110.1360348531606,257.2347422606814,74.74059308974854,54.03561954659736
2021-05-03,75.70804179074315,99.54281691909875,75.13221978372209,162.9515657078852,101.79718345045977,136.62865406639054,86.09402486127146,90.9723768621696,102.06822114474603,85.77801361204392,72.00619196940474,105.30967314854917,512.5911929350068,108.969128410792,104.08400547917135,3723.28408292607,30.667018991333332,93.88625086846395,113.9274041039937,264.6658379783766,105.28663840327279,68.07793711974483
