date,Aching Muscle Pain,Fatigue,Insomnia,Palpitations,Headache,Clouding of consciousness,Chest Tightness,Hip pain,Myalgia,Major depressive disorder,Sleep disorder,Anxiety,Anosmia,Shortness of breath,Dizziness,Long Covid,Lightheadedness,Chest pain,Ageusia,Mental health,Hypochondriasis
9/2/2020,70.57150709,90.10449242,75.76552584,86.40272035,91.11584924,73.15173173,101.1779596,90.76226643,89.36310956,89.59959931,57.168239,84.60623429,75.25088896,80.80990564,90.07018312,40,83.81319602,91.18492662,39.67829317,65.41817356,59
10/2/2020,41.11082579,83.70212636,79.13198925,92.54839965,88.37121093,87.30708961,91.74772256,87.93682362,95.36287612,93.36963571,79.63406288,95.00289473,101.6940574,90.90139146,86.57024102,0,76.82264741,95.04586849,42.24056339,90.751804,73
11/2/2020,82.51626047,91.46580001,75.52931156,88.55238844,90.36034375,90.92983855,103.8831715,91.45472457,93.36792364,93.363123,78.1883321,97.86047298,91.34497631,94.45569698,91.07106965,0,79.73396435,96.10399877,34.44790396,97.06929431,70
12/2/2020,66.75331235,100.7582677,75.81966169,95.53680593,89.46839974,68.92092571,81.56716037,82.93406365,94.79967415,87.34904631,81.69109099,93.66609642,98.67106286,93.28720702,94.18863965,0,71.22290774,97.05153029,29.5267557,94.97548841,71
13/2/2020,47.64224842,104.5286868,73.65533932,87.68582116,88.4064856,87.1824991,94.00054568,87.68148119,89.83623851,89.26807758,70.91175979,88.3979463,88.29447671,86.30662727,97.18570407,0,87.20502619,90.63280923,80.02244474,94.96845536,72
14/2/2020,54.75162216,85.43041681,69.14333229,85.52475977,86.02627224,76.27864891,95.98247874,79.60954719,79.87995742,77.70003328,66.24203106,81.44155902,39.66579348,79.24184491,85.10902707,40.12182123,75.73065738,87.53268726,41.19423095,78.07561131,62
15/2/2020,55.04338824,88.97567545,69.53866517,93.56409091,87.47252971,88.53511204,84.86909822,83.93457716,81.40789624,76.79444069,60.73706057,74.23577043,75.29229494,77.21653758,89.16678724,97.85714286,87.26838127,88.51899301,48.08914461,63.28520671,53
16/2/2020,94.81817557,85.8221514,72.81434297,92.52846309,99.4603637,106.6518794,97.35399129,92.39181607,84.80019034,89.47580789,72.80736879,90.35355788,75.69916262,86.36249084,93.18871281,80.48626442,80.64171079,94.84379067,9.48945101,80.15328492,67
17/2/2020,63.86239066,102.0872382,80.98409772,96.14272784,94.35068094,92.95207286,90.95636917,88.3070922,90.45933677,92.86976863,83.96330716,102.5914439,93.74258283,91.32892512,95.47668802,94.49929,80.35780283,94.86962313,54.75184848,84.33431279,78
18/2/2020,59.68480992,96.51045073,79.36718232,93.58178525,94.43812762,90.33517826,95.40194103,84.70567563,91.71872327,92.72329125,80.31806278,95.53385932,62.71809291,96.61375448,98.31176791,55.77573774,97.65749304,100.8548474,37.15212067,93.82901392,69
19/2/2020,90.90770363,101.7465547,77.71480493,100.5288699,91.2538981,89.55863387,87.07505711,88.38493348,94.76842001,90.90362882,76.59305706,99.58822821,73.39547337,94.51007124,100.8152009,40.6346947,83.9902813,103.960721,56.47409735,91.71452734,82
20/2/2020,49.32620523,94.29767404,76.03972131,91.24227274,87.26084936,83.14433678,89.2140414,80.00251533,89.84341666,92.97710677,76.68644264,93.58627918,95.30092903,87.36949604,92.90434357,0,82.31584987,97.52471086,56.45633062,92.76045721,66
21/2/2020,24.07026527,89.2038756,69.4999666,94.37396863,84.28591666,102.1100213,72.57765325,77.17536723,86.84323025,84.29482171,73.88778554,91.3227411,58.01866432,80.26678275,95.46204464,0,83.25260979,92.52614758,35.29759778,85.40678327,70
22/2/2020,70.75359995,88.70647428,67.01791795,88.94317458,96.42242655,82.75646789,60.81682263,80.18914983,82.22200881,68.49999504,56.68026256,80.11413053,103.2694153,86.28860296,89.3806308,40.30641171,80.45604863,95.80759738,46.85192763,63.24859034,86
23/2/2020,76.47679107,97.12200048,71.06716332,97.20121932,94.33675593,93.36451743,82.78629156,92.09581297,92.53687408,91.65103553,63.19114623,90.1786017,74.31056283,91.08401659,93.42272277,99.19882945,88.28362482,99.64200347,46.72184942,72.73728783,99.07239577
24/2/2020,90.13254187,92.65242963,81.95606955,100.1388634,98.40251364,89.12173882,106.5732264,86.00649611,91.31006312,94.79868065,86.96556522,101.3156338,97.2420972,101.9787954,94.58815776,72.91648858,88.47549972,107.3758265,54.51891845,98.05640025,111.3710426
25/2/2020,76.69024545,101.3638247,80.01222838,98.23356044,94.15819602,106.3482051,82.76712435,81.16171322,92.63855257,99.19162009,79.11009075,97.44639257,90.54966398,104.0169815,89.77805145,60.1138081,90.50407541,103.9632872,41.6965317,90.7047625,100.2212848
26/2/2020,92.17516088,91.91508731,79.54266005,93.22718275,92.32832737,67.99335504,95.7743485,83.06111347,89.84898445,92.25294299,78.34125698,98.51365413,105.8227131,109.9644671,85.85797015,36.06828486,86.46455066,102.1252166,41.27697797,90.69827675,104.6838185
27/2/2020,61.93277639,93.86545379,78.38126178,91.29794462,88.21611867,76.48342698,100.0545418,76.3807003,88.41997193,86.06879564,63.5665646,89.48639522,153.6417536,113.6516872,90.0122483,53.02853983,81.6420597,101.0854178,27.29108984,92.81382328,106.9198647
28/2/2020,62.10340511,87.77211287,68.49124073,96.36321735,92.082239,74.35498742,78.3277034,70.72059757,81.2740324,81.96763962,54.80302068,89.5056866,83.14041155,116.1062473,87.1528706,71.74874036,83.58441983,96.77619318,51.85820907,88.59245408,87.95874767
29/2/2020,69.95159814,85.19468198,67.65326625,95.29829456,92.36566149,77.47428186,97.5167817,79.15337008,80.50478393,80.54728282,52.29671752,76.99683085,71.33254676,117.3620276,86.05670956,61.63032826,70.05369914,95.41767457,57.5630155,61.57873062,88.5819068
1/3/2020,77.14861206,94.26580863,77.02587326,95.34189569,92.14207518,70.31902924,94.22795385,83.10432314,96.45882997,91.54356898,69.83953387,86.15027453,92.40685932,113.0482138,96.04120222,0,81.26129641,101.132052,57.21085209,71.6573673,75.76767514
2/3/2020,66.16850467,94.2743271,76.79658077,95.24404317,97.07853198,87.40880145,104.8929456,81.9766818,94.52343865,79.58903198,75.94812648,96.24451603,81.31469075,130.0165871,89.73093646,62.74649598,84.72890683,107.2211136,58.89472574,95.90938258,95.83873782
3/3/2020,68.69201789,104.0992469,82.69807626,94.28464532,97.26935569,86.93932958,109.6576798,83.20789884,94.03828353,91.10734895,78.68667383,94.04414433,106.80848,128.2384012,96.2182714,90.58174775,87.77446582,98.97048552,60.15072841,100.1086419,99.17164108
4/3/2020,81.19454961,93.56598035,75.23905706,94.17370498,92.15258496,91.32774884,101.7293952,80.07289931,96.01652059,90.82099644,73.31116514,99.29912355,98.56958042,120.5368491,85.33328096,113.4484462,82.87965275,100.7128383,54.99294512,94.82788575,100.2903806
5/3/2020,60.44063082,96.5845738,79.38854251,92.08244979,91.22193075,86.78746626,105.1218343,72.91174642,98.94838255,90.78373965,68.22268488,98.23659466,85.7289061,124.4008006,91.01020437,130.4796583,84.86520503,105.3780151,49.08735679,99.03394272,116.2649556
6/3/2020,80.02252939,92.01914545,66.11728728,93.45151941,90.24885726,82.42364227,106.4187573,74.71710981,90.71232678,81.4727754,67.3267029,93.06132042,88.98330761,120.2587325,94.1201844,178.7888614,79.5096499,100.0228715,48.55486632,85.07283656,97.70933487
7/3/2020,67.40112946,89.79805671,65.33180439,87.44812546,95.14989897,86.74683375,113.145645,80.84040753,88.6877096,79.3960425,62.27292716,74.80398005,101.73858,169.4178309,90.20564434,129.6039055,85.75688809,105.4160773,72.24419029,60.04294354,84.93220107
8/3/2020,72.29715281,94.94337656,66.14431456,94.41298368,99.7008777,72.87812272,98.30627531,78.93877849,86.04671948,83.55339298,51.3136091,82.63153947,111.8214018,144.0938506,91.6294382,80.31791326,81.74665672,102.3209407,119.9750441,66.0413329,83.75240094
9/3/2020,63.27303774,95.02628013,76.81046272,92.36440959,104.9319769,86.97195525,119.9078267,82.3111783,100.6544247,89.32670083,83.30362343,92.10866316,130.0852359,166.1726208,95.21569767,114.9267553,86.11168159,102.5031421,59.18039632,89.03727824,100.0571398
10/3/2020,89.56834843,104.5951656,72.77546113,89.92392714,98.9216425,84.58784228,140.0533358,80.04724013,94.58845506,83.13529466,71.44125015,97.51606575,99.56791874,161.1273678,98.11883742,247.3982177,81.86741967,111.5852608,58.58881801,84.01138039,110.5442669
11/3/2020,98.89801264,95.20294531,74.35711462,85.30951208,101.7303436,79.91952535,163.4090493,78.59489191,99.12805885,77.170442,65.61229863,89.71519069,123.3643307,169.93852,82.1175809,177.6812269,73.93689559,112.2083326,66.29367268,87.00998813,128.6971075
12/3/2020,118.7636206,100.8436312,67.0098971,91.29425197,100.383508,80.83432634,199.2032444,65.03302086,102.241845,71.95598566,60.72984483,88.39722945,115.5823556,203.9166644,81.68082374,415.6359484,81.70846795,129.5365139,71.38297983,86.01101842,177.3346716
